population;region;country;lat;lon;tool;toolset;tooltype;toolclass;toolgroup;use;preparation;sequence;popcomplexity;Toolcomplexity;Toolsetcomplexity;tooldetail;Behaviour
Bwindi;E;Uganda;-1.04902414;29.76635121;Nut stoneanvil;Nut;Nutanvil;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut stoneanvil;Smash
Bwindi;E;Uganda;-1.04902414;29.76635121;Nut stonehammer;Nut;Nuthammer;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut stonehammer;Pound
Bwindi;E;Uganda;-1.04902414;29.76635121;Nut woodhammer;Nut;Nuthammer;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut woodhammer;Pound
Bwindi;E;Uganda;-1.04902414;29.76635121;Stone pound;Stonepound;Smash;Smash;Smash;NA;NA;NA;NA;1;1;Stone pound;Smash
Bwindi;E;Uganda;-1.04902414;29.76635121;Termite fishing;Epigaiec termitefishing;Termitefish;Termitefish;Termite;NA;NA;NA;NA;12;18;Termite fishingepigaeic;Dip
Bwindi;E;Uganda;-1.04902414;29.76635121;Termite fishing;Underground termitefishing;Termitefish;Termitedig;Termite;NA;NA;NA;NA;12;18;Termite fishingunder;Dip
Bwindi;E;Uganda;-1.04902414;29.76635121;Termite perforating;Epigaiec termitefishing;Termiteperforate;Termitefish;Termite;NA;NA;NA;NA;10;18;Termite perforating;Perforate
Bwindi;E;Uganda;-1.04902414;29.76635121;Termite puncturing;Underground termitefishing;Termitepuncture;Termitedig;Termite;NA;NA;NA;NA;10;18;Termite puncturing;Dig
Bwindi;E;Uganda;-1.04902414;29.76635121;Wood pound;Woodpound;Smash;Smash;Smash;NA;NA;NA;NA;1;1;Wood pound;Smash
Comoe;W;Cote dIvoire;8.841651;-3.70789;Ant dipping;Driver antnest;Antdip;Antdip;Ant;1;NA;NA;NA;8;10;Ant dippingnest;Dip
Comoe;W;Cote dIvoire;8.841651;-3.70789;Ant fishingprobe;Arboreal ants;Antfishing;Antfish;Ant;1;NA;NA;NA;7;7;Ant fishingprobe;Dip
Comoe;W;Cote dIvoire;8.841651;-3.70789;Ant perforatingstick;Driver antnest;Antperforate;Antdip;Ant;NA;NA;NA;NA;6;10;Ant perforatingstick;Perforate
Comoe;W;Cote dIvoire;8.841651;-3.70789;Honey dig;Underground honeydig;Honeydig;Honeydig;Honey;0;NA;0;NA;6;10;Honey dig;Perforate
Comoe;W;Cote dIvoire;8.841651;-3.70789;Honey dip;Underground stinglessbee;Honeydip;Honeydig;Honey;0;NA;0;NA;8;12;Honey dipumeli;Dip
Comoe;W;Cote dIvoire;8.841651;-3.70789;Honey dipaerial;Aerial honey;Honeydip;Honeydip;Honey;1;3;2;10;22;36;Honey dipameli;Dip
